date,location,lat,lon,rainfall_mm,humidity_pct,solar_radiation_wm2,temp_c,temp_max_c,temp_min_c,wind_speed_10m_mps,cloud_cover_pct
2023-06-03,pit_entrance,-0.456,117.11,1.02,94.02,18.79,26.69,29.21,24.5,0.76,61.97
2023-06-04,pit_entrance,-0.456,117.11,2.63,92.91,17.17,26.93,29.35,24.75,0.67,72.78
2023-06-05,pit_entrance,-0.456,117.11,14.56,96.16,10.34,26.03,28.22,24.13,0.62,94.04
2023-06-06,pit_entrance,-0.456,117.11,3.72,92.92,20.36,25.44,28.63,22.25,0.57,71.01
2023-06-07,pit_entrance,-0.456,117.11,26.68,93.52,17.49,26.28,29.51,23.87,0.61,85.44
2023-06-08,pit_entrance,-0.456,117.11,10.97,93.66,18.57,26.23,29.2,23.98,0.65,58.48
2023-06-09,pit_entrance,-0.456,117.11,3.51,91.81,14.67,26.18,29.1,23.85,0.74,82.75
2023-06-10,pit_entrance,-0.456,117.11,15.7,94.77,17.86,26.25,28.8,23.9,0.57,70.72
2023-06-11,pit_entrance,-0.456,117.11,10.77,95.07,19.24,26.25,28.8,24.31,0.64,57.19
2023-06-12,pit_entrance,-0.456,117.11,1.44,91.19,8.05,26.57,28.93,24.54,0.47,91.61
2023-06-13,pit_entrance,-0.456,117.11,2.21,91.09,10.1,26.4,28.81,24.76,0.39,88.75
2023-06-14,pit_entrance,-0.456,117.11,10.56,93.5,18.79,25.95,28.19,24.05,0.48,82.93
2023-06-15,pit_entrance,-0.456,117.11,8.5,92.58,9.65,25.46,28.15,23.08,0.74,97.94
2023-06-16,pit_entrance,-0.456,117.11,2.56,91.93,14.22,25.82,29.1,22.84,0.68,93.79
2023-06-17,pit_entrance,-0.456,117.11,13.06,95.92,8.26,25.28,26.91,23.51,0.6,87.57
2023-06-18,pit_entrance,-0.456,117.11,0.82,89.02,13.25,26.2,29.08,23.17,0.48,95.04
2023-06-19,pit_entrance,-0.456,117.11,0.26,90.48,15.5,25.78,28.08,23.36,0.62,90.62
2023-06-20,pit_entrance,-0.456,117.11,23.52,96.79,5.26,24.82,26.75,23.17,0.72,98.87
2023-06-21,pit_entrance,-0.456,117.11,1.16,92.79,15.72,24.92,27.57,22.53,0.72,87.89
2023-06-22,pit_entrance,-0.456,117.11,0.02,90.42,20.16,25.65,29.21,22.23,0.79,55.26
2023-06-23,pit_entrance,-0.456,117.11,0.14,90.45,17.54,26.15,29.43,23.25,0.65,73.39
2023-06-24,pit_entrance,-0.456,117.11,1.08,91.68,16.31,26.54,29.58,23.96,0.75,78.44
2023-06-25,pit_entrance,-0.456,117.11,0.52,91.74,18.91,26.6,29.51,24.15,0.62,74.24
2023-06-26,pit_entrance,-0.456,117.11,0.06,92.49,19.53,26.36,28.92,24.28,0.57,68.23
2023-06-27,pit_entrance,-0.456,117.11,41.28,95.52,11.16,26.1,28.23,24.0,0.66,84.6
2023-06-28,pit_entrance,-0.456,117.11,3.67,92.31,19.01,26.25,29.13,24.23,0.62,52.21
2023-06-29,pit_entrance,-0.456,117.11,5.83,93.8,20.48,26.0,28.69,23.72,0.63,35.31
2023-06-30,pit_entrance,-0.456,117.11,4.23,91.88,14.71,26.41,29.03,24.28,0.63,72.63
2023-07-01,pit_entrance,-0.456,117.11,1.19,89.32,15.39,26.83,29.99,23.76,0.76,78.01
2023-07-02,pit_entrance,-0.456,117.11,3.98,90.22,18.57,26.61,29.61,23.92,0.67,63.03
2023-07-03,pit_entrance,-0.456,117.11,7.25,96.9,7.67,24.91,26.11,23.71,0.78,97.39
2023-07-04,pit_entrance,-0.456,117.11,0.53,91.04,12.81,25.35,28.51,22.79,0.39,98.49
2023-07-05,pit_entrance,-0.456,117.11,11.81,89.61,17.38,26.38,29.56,23.67,0.61,81.91
2023-07-06,pit_entrance,-0.456,117.11,3.61,92.37,14.64,26.15,28.44,23.56,0.58,77.68
2023-07-07,pit_entrance,-0.456,117.11,5.07,92.99,18.96,25.98,28.32,23.61,0.69,76.3
2023-07-08,pit_entrance,-0.456,117.11,9.72,97.56,15.2,24.44,25.77,23.29,0.82,96.99
2023-07-09,pit_entrance,-0.456,117.11,1.66,92.39,18.48,25.18,28.26,22.26,0.58,82.52
2023-07-10,pit_entrance,-0.456,117.11,0.63,90.73,18.24,25.75,29.3,22.63,0.71,75.77
2023-07-11,pit_entrance,-0.456,117.11,0.45,92.07,12.99,25.98,29.13,23.7,0.79,95.56
2023-07-12,pit_entrance,-0.456,117.11,0.19,90.6,14.24,25.98,28.61,23.81,0.77,83.16
2023-07-13,pit_entrance,-0.456,117.11,0.19,91.38,14.85,25.56,27.95,23.69,0.8,96.9
2023-07-14,pit_entrance,-0.456,117.11,0.38,92.67,16.53,25.38,27.77,23.2,0.73,94.73
2023-07-15,pit_entrance,-0.456,117.11,0.43,90.84,10.44,25.75,28.53,23.65,0.62,96.0
2023-07-16,pit_entrance,-0.456,117.11,0.18,93.32,8.15,25.33,27.92,23.19,0.79,91.82
2023-07-17,pit_entrance,-0.456,117.11,0.05,90.12,17.82,25.92,28.69,23.51,0.78,84.02
2023-07-18,pit_entrance,-0.456,117.11,0.02,90.47,12.54,26.15,29.34,23.11,0.58,93.95
2023-07-19,pit_entrance,-0.456,117.11,5.02,92.19,16.67,26.42,29.34,24.08,0.72,84.45
2023-07-20,pit_entrance,-0.456,117.11,15.69,95.04,14.1,26.19,28.55,24.27,0.7,91.07
